Rank,Target,Score,Precision
0,frustrated,0.92647,0.08575
1,stern,0.81159,0.12039
2,dislike,0.71795,0.16013
3,stare,0.69444,0.16667
4,grumpy,0.65517,0.1857
5,uncomfortable,0.6087,0.20851
6,disappointed,0.6087,0.20851
7,goofy,0.6087,0.20851
8,displeased,0.57895,0.22942
9,curious,0.57895,0.22942
10,scared,0.55556,0.2357
11,confusion,0.55556,0.2357
12,frusturated,0.55,0.22361
13,angry,0.52941,0.24254
14,unpleasant,0.5,0.26726
15,mad,0.5,0.25
16,silly,0.5,0.25
17,upset,0.5,0.26726
18,focused,0.5,0.26726
19,calm,0.47368,0.22942
20,confused,0.46667,0.2582
21,shocked,0.46154,0.27735
22,content,0.46154,0.27735
23,pissed,0.4,0.31623
24,worried,0.4,0.31623
25,happy,0.4,0.31623
26,normal,0.4,0.31623
27,annoyed,0.38462,0.27735
28,unhappy,0.33333,0.33333
29,bad,0.3,0.31623
30,passionate,0.28571,0.37796
31,intense,0.28571,0.37796
32,sad,0.28571,0.37796
33,boring,0.22222,0.33333
34,teeth,0.16667,0.40825
35,playful,0.16667,0.40825
36,furious,0.16667,0.40825
37,disgusted,0.16667,0.40825
38,funny,0,0.5
39,serious,0,0.5
40,yelling,0,0.5
41,concerned,0,0.5
42,crazy,0,0.5
