Rank,Target,Score,Precision
0,grumpy,1,0.57735
1,annoyed,1,0.5
2,shocked,1,0.57735
3,displeased,0.875,0.35355
4,dislike,0.85714,0.37796
5,frusturated,0.85714,0.37796
6,concerned,0.8,0.44721
7,angry,0.66667,0.57735
8,yelling,0.66667,0.57735
9,disgusted,0.66667,0.57735
10,silly,0.66667,0.57735
11,upset,0.625,0.35355
12,uncomfortable,0.6,0.44721
13,mad,0.55556,0.33333
14,unpleasant,0.5,0.40825
15,pissed,0.5,0.70711
16,unhappy,0.5,0.70711
17,stare,0.5,0.40825
18,confused,0.5,0.5
19,sad,0.5,0.35355
20,content,0.5,0.70711
21,teeth,0.5,0.5
22,boring,0.45455,0.30151
23,curious,0.42857,0.37796
24,frustrated,0.42857,0.37796
25,worried,0.4,0.31623
26,furious,0.4,0.44721
27,serious,0.38462,0.27735
28,crazy,0.33333,0.57735
29,scared,0.33333,0.40825
30,playful,0.33333,0.57735
31,funny,0.33333,0.57735
32,focused,0.33333,0.57735
33,stern,0.33333,0.40825
34,confusion,0.27273,0.30151
35,bad,0.25,0.5
36,normal,0.2,0.44721
37,intense,0.2,0.44721
38,goofy,0.1,0.31623
39,passionate,0,0.57735
40,disappointed,0,0.70711
41,calm,0,0.57735
42,happy,0,0.57735
