Rank,Target,Score,Precision
0,annoyed,0.93269,0.09806
1,perturbed,0.82692,0.13868
2,grumpy,0.8,0.14142
3,aggressive,0.75862,0.1857
4,confused,0.75,0.16667
5,doubt,0.75,0.17678
6,unhappy,0.74286,0.16903
7,unamused,0.74194,0.17961
8,focused,0.73333,0.18257
9,disgust,0.72414,0.1857
10,frustration,0.72414,0.1857
11,defiant,0.71429,0.16903
12,confrontational,0.71429,0.18898
13,uncertain,0.71429,0.14286
14,screaming,0.69048,0.1543
15,irritated,0.68,0.2
16,intense,0.66667,0.21822
17,shocked,0.64286,0.1543
18,rage,0.59259,0.19245
19,contempt,0.59259,0.19245
20,serious,0.58824,0.24254
21,displeased,0.5625,0.25
22,funny,0.55556,0.2357
23,cute,0.53333,0.2582
24,questioning,0.53333,0.2582
25,sadness,0.52941,0.24254
26,tension,0.5,0.28868
27,suspicious,0.5,0.2357
28,furious,0.5,0.28868
29,mad,0.5,0.28868
30,skeptical,0.46667,0.2582
31,simply,0.45455,0.30151
32,other,0.45455,0.30151
33,confusion,0.45455,0.30151
34,looking,0.44444,0.33333
35,love,0.44444,0.33333
36,thinking,0.41667,0.28868
37,concerned,0.41176,0.24254
38,disappointment,0.4,0.31623
39,worried,0.375,0.35355
40,frustrated,0.375,0.35355
41,happiness,0.375,0.35355
42,silly,0.375,0.35355
43,irate,0.28571,0.37796
44,fear,0.28571,0.37796
45,upset,0.28571,0.37796
46,nice,0.16667,0.40825
47,teeth,0,0.57735
48,determined,0,0.57735
49,shouting,0,0.57735
50,neutral,0,0.57735
51,hair,0,0.57735
52,calm,0,0.57735
53,anger,0,0.57735
