Rank,Target,Score,Precision
0,anger,1,1
1,confrontational,1,1
2,focused,1,0.70711
3,fear,1,0.70711
4,unhappy,1,0.70711
5,tension,1,1
6,worried,1,0.44721
7,nice,1,1
8,intense,1,1
9,displeased,1,0.70711
10,doubt,1,1
11,upset,0.9,0.31623
12,annoyed,0.8,0.44721
13,furious,0.8,0.44721
14,irritated,0.66667,0.57735
15,frustrated,0.66667,0.57735
16,frustration,0.66667,0.57735
17,unamused,0.66667,0.57735
18,concerned,0.6,0.44721
19,confusion,0.5,0.70711
20,grumpy,0.5,0.70711
21,thinking,0.5,0.70711
22,contempt,0.5,0.70711
23,shouting,0.5,0.70711
24,rage,0.5,0.5
25,perturbed,0.5,0.5
26,shocked,0.4,0.44721
27,other,0.33333,0.57735
28,suspicious,0.25,0.5
29,determined,0.14286,0.37796
30,hair,0,0.70711
31,mad,0,0.57735
32,love,0,1
33,teeth,0,0.57735
34,questioning,0,1
35,confused,0,1
36,looking,0,0.57735
37,skeptical,0,0.70711
38,calm,0,1
39,uncertain,0,1
40,screaming,0,0.70711
41,aggressive,0,0.5
42,happiness,0,0.70711
43,silly,0,1
44,funny,0,1
45,cute,0,0.5
46,irate,-1,1
47,simply,-1,1
48,disgust,-1,1
49,defiant,-1,1
50,disappointment,-1,1
51,neutral,-1,1
52,sadness,-1,1
53,serious,-1,1
