Rank,Target,Score,Precision
0,yelling,0.83099,0.11868
1,stern,0.81667,0.1291
2,intense,0.8,0.13484
3,concerned,0.7561,0.15617
4,confused,0.75,0.15811
5,serious,0.75,0.15811
6,frustrated,0.75,0.14434
7,passionate,0.75,0.15811
8,pissed,0.75,0.15811
9,annoyed,0.7,0.18257
10,unpleasant,0.7,0.18257
11,uncomfortable,0.66667,0.19245
12,unhappy,0.66667,0.17408
13,angry,0.64,0.2
14,crazy,0.625,0.20412
15,disgusted,0.625,0.20412
16,bad,0.6,0.22361
17,upset,0.53333,0.2582
18,content,0.53333,0.2582
19,grumpy,0.53333,0.2582
20,disappointed,0.52941,0.24254
21,curious,0.52941,0.24254
22,sad,0.5,0.26726
23,scared,0.46154,0.27735
24,stare,0.45455,0.30151
25,goofy,0.45455,0.30151
26,normal,0.45455,0.30151
27,playful,0.41667,0.28868
28,focused,0.4,0.31623
29,dislike,0.36364,0.30151
30,furious,0.33333,0.33333
31,silly,0.28571,0.37796
32,shocked,0.28571,0.37796
33,happy,0.28571,0.37796
34,mad,0.28571,0.37796
35,frusturated,0.28571,0.37796
36,boring,0.25,0.35355
37,confusion,0.2,0.44721
38,displeased,0.2,0.44721
39,worried,0.2,0.44721
40,funny,0,0.5
41,calm,0,0.5
42,teeth,0,0.5
