Rank,Target,Score,Precision
0,uncomfortable,1,0.57735
1,upset,1,1
2,scared,1,0.70711
3,content,1,1
4,frustrated,1,1
5,frusturated,1,1
6,furious,1,1
7,shocked,1,0.70711
8,yelling,0.75,0.5
9,annoyed,0.75,0.5
10,passionate,0.71429,0.37796
11,unhappy,0.66667,0.57735
12,displeased,0.6,0.44721
13,stare,0.5,0.70711
14,funny,0.5,0.5
15,teeth,0.5,0.70711
16,angry,0.5,0.70711
17,unpleasant,0.5,0.5
18,crazy,0.33333,0.40825
19,sad,0.33333,0.40825
20,confused,0.33333,0.57735
21,concerned,0.33333,0.57735
22,silly,0.25,0.5
23,disappointed,0.16667,0.40825
24,worried,0,1
25,mad,0,0.70711
26,bad,0,1
27,calm,0,0.5
28,dislike,0,0.70711
29,playful,0,0.70711
30,boring,0,0.44721
31,happy,0,0.70711
32,focused,0,0.70711
33,curious,0,0.70711
34,goofy,0,0.70711
35,confusion,0,1
36,normal,0,0.70711
37,grumpy,-1,1
38,stern,-1,1
39,disgusted,-1,1
40,serious,-1,1
41,intense,-1,1
42,pissed,-1,1
