Rank,Target,Score,Precision
0,displeased,0.87013,0.11396
1,perturbed,0.85393,0.106
2,irate,0.82609,0.12039
3,irritated,0.82143,0.13363
4,rage,0.82143,0.13363
5,mad,0.81132,0.13736
6,serious,0.80769,0.13868
7,upset,0.80357,0.13363
8,confrontational,0.76056,0.11868
9,disgust,0.7561,0.15617
10,frustrated,0.75,0.15076
11,disappointment,0.74359,0.16013
12,concerned,0.74286,0.16903
13,defiant,0.73529,0.1715
14,shouting,0.68966,0.1857
15,uncertain,0.66667,0.19245
16,unhappy,0.65217,0.20851
17,frustration,0.65217,0.20851
18,confusion,0.63636,0.2132
19,suspicious,0.58824,0.24254
20,teeth,0.57895,0.22942
21,determined,0.5625,0.25
22,intense,0.5625,0.25
23,doubt,0.5625,0.25
24,questioning,0.5625,0.25
25,screaming,0.53333,0.2582
26,grumpy,0.53333,0.2582
27,aggressive,0.5,0.28868
28,other,0.45455,0.30151
29,fear,0.41667,0.28868
30,confused,0.4,0.31623
31,anger,0.4,0.31623
32,shocked,0.38462,0.27735
33,unamused,0.375,0.35355
34,thinking,0.28571,0.37796
35,annoyed,0.28571,0.37796
36,furious,0.25,0.35355
37,calm,0.16667,0.40825
38,skeptical,0,0.57735
39,sadness,0,0.57735
40,funny,0,0.57735
41,hair,0,0.57735
42,nice,0,0.57735
43,worried,0,0.57735
44,love,0,0.57735
45,contempt,0,0.57735
46,neutral,0,0.57735
47,cute,0,0.57735
48,looking,0,0.57735
49,simply,0,0.57735
50,happiness,0,0.57735
51,tension,0,0.57735
52,silly,0,0.57735
53,focused,0,0.57735
