Rank,Target,Score,Precision
0,anger,1,0.44721
1,doubt,1,1
2,displeased,1,0.70711
3,simply,1,0.70711
4,questioning,1,1
5,aggressive,1,1
6,irritated,1,0.70711
7,thinking,1,0.70711
8,serious,1,0.57735
9,mad,1,0.70711
10,upset,1,0.5
11,shouting,0.83333,0.40825
12,tension,0.8,0.44721
13,confrontational,0.75,0.5
14,disgust,0.66667,0.40825
15,annoyed,0.66667,0.57735
16,furious,0.66667,0.57735
17,worried,0.66667,0.57735
18,other,0.625,0.35355
19,focused,0.57143,0.37796
20,intense,0.5,0.70711
21,uncertain,0.5,0.5
22,unamused,0.5,0.70711
23,irate,0.5,0.40825
24,confusion,0.5,0.70711
25,perturbed,0.5,0.5
26,rage,0.5,0.5
27,fear,0.5,0.5
28,unhappy,0.33333,0.57735
29,suspicious,0.33333,0.57735
30,defiant,0.33333,0.57735
31,concerned,0.33333,0.57735
32,skeptical,0.25,0.5
33,confused,0.14286,0.37796
34,happiness,0,1
35,sadness,0,0.57735
36,hair,0,1
37,contempt,0,1
38,neutral,0,1
39,love,0,1
40,grumpy,0,1
41,determined,0,1
42,frustration,0,0.70711
43,cute,0,0.57735
44,calm,0,0.44721
45,frustrated,0,0.70711
46,funny,0,0.70711
47,silly,0,0.44721
48,teeth,0,0.70711
49,disappointment,-1,1
50,screaming,-1,1
51,shocked,-1,1
52,nice,-1,1
53,looking,-1,1
