Rank,Target,Score,Precision
0,pissed,0.92135,0.106
1,frusturated,0.87692,0.12403
2,displeased,0.85714,0.13363
3,angry,0.81818,0.13484
4,upset,0.81395,0.1525
5,intense,0.81395,0.1525
6,mad,0.80952,0.1543
7,unhappy,0.76471,0.1715
8,disgusted,0.75,0.17678
9,frustrated,0.71053,0.16222
10,stern,0.7037,0.19245
11,furious,0.66667,0.1291
12,worried,0.66667,0.21822
13,grumpy,0.65854,0.15617
14,bad,0.65,0.22361
15,dislike,0.58824,0.24254
16,teeth,0.57143,0.26726
17,uncomfortable,0.57143,0.26726
18,disappointed,0.5625,0.25
19,confusion,0.53846,0.27735
20,crazy,0.53846,0.27735
21,shocked,0.53846,0.27735
22,silly,0.5,0.28868
23,passionate,0.5,0.28868
24,stare,0.46667,0.2582
25,happy,0.45455,0.30151
26,concerned,0.45455,0.30151
27,serious,0.45455,0.30151
28,playful,0.44444,0.33333
29,yelling,0.44444,0.33333
30,confused,0.44444,0.33333
31,sad,0.41667,0.28868
32,scared,0.375,0.35355
33,boring,0.28571,0.37796
34,content,0.2,0.44721
35,curious,0.2,0.44721
36,focused,0.2,0.44721
37,unpleasant,0.2,0.44721
38,goofy,0.2,0.44721
39,funny,0,0.57735
40,calm,0,0.57735
41,normal,0,0.57735
42,annoyed,0,0.57735
