Rank,Target,Score,Precision
0,angry,1,0.70711
1,mad,1,0.57735
2,intense,1,1
3,scared,1,1
4,disgusted,1,0.57735
5,funny,1,1
6,frustrated,1,0.40825
7,annoyed,1,0.70711
8,silly,1,0.70711
9,disappointed,1,0.57735
10,unhappy,1,1
11,teeth,1,0.70711
12,dislike,1,0.5
13,frusturated,1,1
14,furious,1,1
15,crazy,0.83333,0.40825
16,displeased,0.66667,0.57735
17,pissed,0.66667,0.57735
18,stern,0.6,0.44721
19,passionate,0.5,0.70711
20,happy,0.5,0.70711
21,sad,0.33333,0.57735
22,confused,0.2,0.44721
23,normal,0,1
24,worried,0,1
25,yelling,0,0.57735
26,stare,0,1
27,content,0,1
28,bad,0,1
29,uncomfortable,0,0.70711
30,playful,0,1
31,boring,0,0.70711
32,curious,0,0.70711
33,goofy,0,0.5
34,calm,0,1
35,confusion,0,1
36,focused,-1,1
37,grumpy,-1,1
38,serious,-1,1
39,unpleasant,-1,1
40,upset,-1,1
41,shocked,-1,1
42,concerned,-1,1
