Rank,Target,Score,Precision
0,upset,0.82895,0.11471
1,irate,0.81429,0.11952
2,aggressive,0.78571,0.13363
3,anger,0.78182,0.13484
4,confrontational,0.76,0.14142
5,screaming,0.75556,0.14907
6,intense,0.7551,0.14286
7,furious,0.71739,0.14744
8,disgust,0.70588,0.1715
9,unhappy,0.68,0.14142
10,frustration,0.64,0.2
11,doubt,0.62963,0.19245
12,rage,0.625,0.20412
13,questioning,0.6087,0.20851
14,skeptical,0.6,0.22361
15,frustrated,0.6,0.22361
16,sadness,0.57895,0.22942
17,displeased,0.55556,0.2357
18,annoyed,0.55556,0.2357
19,shouting,0.55556,0.2357
20,hair,0.54545,0.2132
21,concerned,0.52941,0.24254
22,irritated,0.52941,0.24254
23,mad,0.52632,0.22942
24,defiant,0.5,0.26726
25,uncertain,0.5,0.26726
26,confusion,0.5,0.25
27,perturbed,0.5,0.25
28,disappointment,0.5,0.26726
29,suspicious,0.5,0.26726
30,worried,0.5,0.25
31,grumpy,0.47059,0.24254
32,serious,0.46154,0.27735
33,simply,0.46154,0.27735
34,calm,0.41667,0.28868
35,shocked,0.41667,0.28868
36,silly,0.4,0.31623
37,focused,0.4,0.31623
38,determined,0.4,0.31623
39,neutral,0.36364,0.30151
40,confused,0.33333,0.33333
41,other,0.28571,0.37796
42,fear,0.28571,0.37796
43,looking,0.28571,0.37796
44,teeth,0.28571,0.37796
45,cute,0.16667,0.40825
46,unamused,0.125,0.35355
47,funny,0.11765,0.24254
48,tension,0,0.5
49,love,0,0.5
50,contempt,0,0.5
51,happiness,0,0.5
52,nice,0,0.5
53,thinking,0,0.5
