Rank,Target,Score,Precision
0,suspicious,1,1
1,confrontational,1,1
2,tension,1,0.70711
3,teeth,1,0.57735
4,grumpy,1,0.57735
5,serious,1,1
6,irritated,1,1
7,upset,1,0.70711
8,mad,1,1
9,shocked,1,0.70711
10,furious,1,0.70711
11,disgust,0.8,0.44721
12,displeased,0.75,0.5
13,funny,0.75,0.5
14,shouting,0.66667,0.57735
15,screaming,0.66667,0.57735
16,doubt,0.66667,0.57735
17,uncertain,0.5,0.70711
18,thinking,0.5,0.70711
19,aggressive,0.5,0.70711
20,questioning,0.5,0.70711
21,disappointment,0.5,0.70711
22,skeptical,0.5,0.5
23,simply,0.5,0.5
24,perturbed,0.5,0.70711
25,sadness,0.5,0.70711
26,silly,0.5,0.40825
27,rage,0.5,0.70711
28,unhappy,0.5,0.70711
29,other,0.5,0.70711
30,neutral,0.33333,0.57735
31,looking,0.33333,0.57735
32,annoyed,0.33333,0.57735
33,hair,0.33333,0.57735
34,frustrated,0.33333,0.57735
35,focused,0.33333,0.57735
36,confused,0.33333,0.57735
37,frustration,0.25,0.5
38,nice,0,1
39,contempt,0,1
40,determined,0,0.70711
41,love,0,0.70711
42,fear,0,1
43,cute,0,0.57735
44,calm,0,0.5
45,confusion,0,0.57735
46,unamused,-1,1
47,irate,-1,1
48,happiness,-1,1
49,intense,-1,1
50,worried,-1,1
51,defiant,-1,1
52,concerned,-1,1
53,anger,-1,1
