Rank,Target,Score,Precision
0,stern,0.94872,0.09245
1,serious,0.89041,0.11704
2,concerned,0.89041,0.11704
3,disappointed,0.85246,0.12804
4,displeased,0.78378,0.1644
5,unpleasant,0.77273,0.15076
6,frustrated,0.76471,0.1715
7,uncomfortable,0.74286,0.16903
8,worried,0.7037,0.19245
9,stare,0.7037,0.19245
10,confusion,0.7037,0.19245
11,frusturated,0.7037,0.19245
12,furious,0.68,0.2
13,upset,0.65217,0.20851
14,bad,0.65217,0.20851
15,disgusted,0.65,0.22361
16,dislike,0.63158,0.22942
17,annoyed,0.61111,0.2357
18,sad,0.58824,0.24254
19,focused,0.57895,0.22942
20,confused,0.53125,0.17678
21,unhappy,0.5,0.28868
22,grumpy,0.5,0.26726
23,mad,0.5,0.26726
24,content,0.46154,0.27735
25,angry,0.45455,0.30151
26,boring,0.44444,0.2357
27,pissed,0.44444,0.33333
28,passionate,0.375,0.35355
29,shocked,0.375,0.35355
30,crazy,0.33333,0.33333
31,scared,0.28571,0.37796
32,normal,0.2,0.44721
33,intense,0.2,0.44721
34,happy,0.2,0.44721
35,funny,0,0.57735
36,goofy,0,0.5
37,playful,0,0.5
38,teeth,0,0.5
39,yelling,0,0.57735
40,silly,0,0.57735
41,curious,0,0.57735
42,calm,0,0.5
