Rank,Target,Score,Precision
0,mad,1,0.70711
1,worried,1,0.70711
2,dislike,1,0.70711
3,scared,1,1
4,boring,1,1
5,passionate,1,1
6,annoyed,1,0.5
7,stern,1,0.70711
8,concerned,1,1
9,pissed,1,0.70711
10,uncomfortable,0.75,0.5
11,displeased,0.75,0.5
12,goofy,0.66667,0.57735
13,unpleasant,0.66667,0.40825
14,frusturated,0.66667,0.40825
15,confusion,0.5,0.70711
16,shocked,0.5,0.70711
17,curious,0.5,0.70711
18,content,0.5,0.5
19,grumpy,0.5,0.5
20,focused,0.33333,0.57735
21,calm,0.33333,0.57735
22,furious,0.33333,0.57735
23,disappointed,0.33333,0.57735
24,serious,0.33333,0.57735
25,intense,0.33333,0.57735
26,happy,0.25,0.5
27,funny,0,1
28,bad,0,1
29,crazy,0,0.70711
30,playful,0,1
31,unhappy,0,1
32,silly,0,0.57735
33,frustrated,0,0.70711
34,confused,0,0.70711
35,sad,0,1
36,upset,0,1
37,normal,0,0.70711
38,teeth,-1,1
39,disgusted,-1,1
40,stare,-1,1
41,yelling,-1,1
42,angry,-1,1
