Rank,Target,Score,Precision
0,disappointment,0.82474,0.10153
1,rage,0.78261,0.12039
2,frustration,0.78261,0.12039
3,displeased,0.77778,0.11785
4,tension,0.76923,0.12403
5,irate,0.75439,0.13245
6,irritated,0.7541,0.12804
7,shocked,0.71739,0.14744
8,annoyed,0.71111,0.14907
9,furious,0.69048,0.1543
10,anger,0.65625,0.17678
11,grumpy,0.64706,0.1715
12,fear,0.63333,0.18257
13,unamused,0.62069,0.1857
14,uncertain,0.61538,0.19612
15,concerned,0.61538,0.19612
16,suspicious,0.6,0.2
17,frustrated,0.57143,0.21822
18,serious,0.57143,0.21822
19,looking,0.56522,0.20851
20,perturbed,0.56522,0.20851
21,disgust,0.56522,0.20851
22,intense,0.55,0.22361
23,screaming,0.55,0.22361
24,aggressive,0.55,0.22361
25,determined,0.52632,0.22942
26,confusion,0.52632,0.22942
27,unhappy,0.5,0.25
28,calm,0.5,0.25
29,silly,0.5,0.25
30,skeptical,0.5,0.25
31,questioning,0.5,0.25
32,doubt,0.46667,0.2582
33,love,0.41667,0.28868
34,mad,0.41667,0.28868
35,focused,0.41667,0.28868
36,neutral,0.41667,0.28868
37,confused,0.41667,0.28868
38,worried,0.36364,0.30151
39,shouting,0.36364,0.30151
40,hair,0.36364,0.30151
41,contempt,0.36364,0.30151
42,confrontational,0.33333,0.33333
43,simply,0.33333,0.33333
44,happiness,0.33333,0.33333
45,upset,0.33333,0.33333
46,other,0.22222,0.33333
47,defiant,0.22222,0.33333
48,nice,0.22222,0.33333
49,thinking,0.22222,0.33333
50,sadness,0.16667,0.40825
51,funny,0,0.5
52,cute,0,0.5
53,teeth,0,0.5
