Rank,Target,Score,Precision
0,thinking,1,0.70711
1,defiant,1,1
2,confrontational,1,1
3,screaming,1,0.70711
4,frustrated,1,0.57735
5,rage,1,0.70711
6,aggressive,1,1
7,focused,1,0.57735
8,unamused,1,0.70711
9,unhappy,1,1
10,tension,1,0.5
11,concerned,1,0.70711
12,intense,1,1
13,irritated,1,1
14,mad,1,0.57735
15,determined,1,0.57735
16,frustration,0.75,0.5
17,sadness,0.75,0.5
18,fear,0.66667,0.57735
19,worried,0.66667,0.57735
20,displeased,0.66667,0.57735
21,hair,0.66667,0.57735
22,disgust,0.66667,0.57735
23,shocked,0.5,0.70711
24,furious,0.5,0.5
25,uncertain,0.5,0.5
26,perturbed,0.5,0.5
27,happiness,0.5,0.70711
28,suspicious,0.5,0.5
29,nice,0.5,0.5
30,silly,0.5,0.5
31,other,0.4,0.44721
32,skeptical,0.4,0.44721
33,contempt,0.33333,0.57735
34,looking,0.33333,0.57735
35,confused,0.33333,0.57735
36,anger,0.33333,0.57735
37,funny,0.33333,0.57735
38,shouting,0.33333,0.57735
39,simply,0.2,0.44721
40,grumpy,0.2,0.44721
41,disappointment,0.16667,0.40825
42,upset,0,1
43,annoyed,0,1
44,serious,0,0.70711
45,doubt,0,0.57735
46,confusion,0,1
47,irate,0,1
48,cute,0,1
49,calm,0,1
50,love,0,1
51,questioning,0,0.70711
52,teeth,-1,1
53,neutral,-1,1
