Rank,Target,Score,Precision
0,sour,0.81159,0.12039
1,disappointed,0.80882,0.12127
2,disgusted,0.80702,0.13245
3,boring,0.78,0.14142
4,displeased,0.78,0.14142
5,questioning,0.77083,0.14434
6,upset,0.72973,0.1644
7,confused,0.69697,0.17408
8,dislike,0.68966,0.1857
9,concerned,0.66667,0.17408
10,pissed,0.64,0.2
11,uncomfortable,0.625,0.20412
12,weird,0.61905,0.21822
13,unpleasant,0.59259,0.19245
14,unhappy,0.57895,0.22942
15,frustrated,0.55556,0.2357
16,shocked,0.55,0.22361
17,sassy,0.52941,0.24254
18,squint,0.5,0.26726
19,ugly,0.5,0.26726
20,curious,0.46154,0.27735
21,scared,0.46154,0.27735
22,suprised,0.45455,0.30151
23,crazy,0.41667,0.28868
24,sad,0.41667,0.28868
25,bad,0.4,0.31623
26,intrigued,0.4,0.31623
27,angry,0.4,0.31623
28,hate,0.33333,0.33333
29,serious,0.33333,0.33333
30,goofy,0.28571,0.37796
31,annoyed,0.28571,0.37796
32,mad,0.25,0.35355
33,excited,0.2,0.31623
34,worried,0.16667,0.40825
35,funny,0.16667,0.40825
36,surprised,0.16667,0.40825
37,playful,0.14286,0.37796
38,happy,0,0.5
39,gross,0,0.5
40,silly,0,0.5
41,cute,0,0.5
