Rank,Target,Score,Precision
0,funny,1,1
1,confused,1,0.70711
2,angry,1,1
3,upset,1,1
4,weird,1,0.57735
5,gross,1,1
6,unhappy,1,0.70711
7,boring,1,0.70711
8,uncomfortable,0.8,0.44721
9,unpleasant,0.8,0.44721
10,disappointed,0.75,0.5
11,dislike,0.66667,0.57735
12,disgusted,0.66667,0.57735
13,suprised,0.5,0.70711
14,bad,0.5,0.70711
15,mad,0.5,0.70711
16,displeased,0.5,0.70711
17,surprised,0.33333,0.57735
18,goofy,0.33333,0.57735
19,concerned,0.33333,0.57735
20,frustrated,0.28571,0.37796
21,squint,0.25,0.5
22,silly,0.25,0.5
23,pissed,0.16667,0.40825
24,shocked,0.09091,0.30151
25,excited,0,0.70711
26,serious,0,0.70711
27,playful,0,0.57735
28,hate,0,0.70711
29,cute,0,0.70711
30,sad,0,0.5
31,happy,0,1
32,ugly,0,1
33,crazy,0,0.5
34,intrigued,-1,1
35,sassy,-1,1
36,sour,-1,1
37,scared,-1,1
38,annoyed,-1,1
39,curious,-1,1
40,questioning,-1,1
41,worried,-1,1
