Rank,Target,Score,Precision
0,dislike,0.89916,0.09167
1,repulsed,0.89655,0.09285
2,irritated,0.86207,0.10721
3,confusion,0.8481,0.11251
4,frustrated,0.76596,0.14586
5,uncertain,0.76087,0.14744
6,questioning,0.75,0.15811
7,disgust,0.73684,0.16222
8,disbelief,0.73684,0.16222
9,aggravated,0.72222,0.16667
10,scared,0.68966,0.1857
11,annoyed,0.67857,0.18898
12,horrified,0.66667,0.19245
13,silly,0.61905,0.21822
14,confused,0.6087,0.20851
15,suspicious,0.6,0.31623
16,other,0.57895,0.22942
17,unsure,0.57895,0.22942
18,unhappy,0.55556,0.2357
19,repulsive,0.55556,0.2357
20,screaming,0.53333,0.2582
21,upset,0.52941,0.24254
22,skeptical,0.5,0.26726
23,contempt,0.46154,0.27735
24,mad,0.46154,0.27735
25,nervous,0.4,0.31623
26,funny,0.4,0.31623
27,fear,0.4,0.31623
28,worried,0.4,0.31623
29,revulsion,0.33333,0.33333
30,cry,0.33333,0.33333
31,concerned,0.33333,0.33333
32,tension,0.33333,0.33333
33,surprise,0.28571,0.37796
34,shock,0.28571,0.37796
35,naughty,0.25,0.35355
36,thinking,0.2,0.44721
37,crying,0.2,0.44721
38,shocked,0.16667,0.40825
39,playful,0.16667,0.40825
40,gross,0.16667,0.40825
41,calm,0,0.5
42,simple,0,0.5
43,sadness,0,0.5
44,good,0,0.5
45,happiness,0,0.5
46,nice,0,0.5
47,cute,0,0.5
48,goofy,0,0.5
49,anger,0,0.5
50,smile,0,0.5
