Rank,Target,Score,Precision
0,uncertain,1,1
1,disbelief,1,0.70711
2,tension,1,0.70711
3,confused,1,0.70711
4,fear,1,0.57735
5,annoyed,1,0.70711
6,concerned,1,1
7,dislike,1,0.5
8,upset,1,1
9,unhappy,1,0.70711
10,goofy,0.8,0.44721
11,irritated,0.75,0.5
12,silly,0.66667,0.57735
13,contempt,0.5,0.5
14,shock,0.5,0.70711
15,skeptical,0.5,0.70711
16,disgust,0.5,0.5
17,mad,0.5,0.70711
18,shocked,0.5,0.5
19,sadness,0.5,0.70711
20,nervous,0.33333,0.57735
21,simple,0.33333,0.57735
22,screaming,0.33333,0.57735
23,cute,0.2,0.44721
24,nice,0.2,0.44721
25,aggravated,0,0.70711
26,anger,0,1
27,calm,0,1
28,frustrated,0,1
29,repulsive,0,0.70711
30,happiness,0,0.70711
31,crying,0,0.70711
32,gross,0,0.5
33,other,0,0.70711
34,suspicious,0,1
35,scared,0,0.70711
36,surprise,0,0.57735
37,naughty,0,1
38,playful,0,0.70711
39,unsure,0,0.70711
40,confusion,0,1
41,funny,0,0.70711
42,repulsed,0,1
43,smile,0,0.70711
44,good,0,1
45,thinking,-1,1
46,worried,-1,1
47,revulsion,-1,1
48,cry,-1,1
49,horrified,-1,1
50,questioning,-1,1
