Rank,Target,Score,Precision
0,disgusted,0.95455,0.15076
1,pissed,0.92105,0.16222
2,annoyed,0.86667,0.18257
3,sour,0.85185,0.19245
4,dislike,0.84,0.2
5,displeased,0.83333,0.20412
6,angry,0.80952,0.21822
7,unhappy,0.80952,0.21822
8,frustrated,0.8,0.22361
9,uncomfortable,0.77778,0.2357
10,unpleasant,0.73684,0.22942
11,confused,0.70588,0.24254
12,worried,0.69231,0.27735
13,hate,0.69231,0.27735
14,serious,0.63636,0.30151
15,upset,0.63636,0.2132
16,ugly,0.6,0.31623
17,mad,0.55556,0.33333
18,suprised,0.55556,0.33333
19,bad,0.5,0.35355
20,crazy,0.5,0.35355
21,scared,0.5,0.35355
22,cute,0.47059,0.24254
23,shocked,0.46154,0.27735
24,funny,0.42857,0.26726
25,boring,0.42857,0.37796
26,sassy,0.33333,0.40825
27,weird,0.33333,0.40825
28,questioning,0.33333,0.40825
29,intrigued,0.33333,0.40825
30,disappointed,0.25,0.5
31,sad,0.25,0.5
32,gross,0.25,0.5
33,excited,0.25,0.5
34,goofy,0.25,0.5
35,surprised,0.25,0.5
36,playful,0.25,0.5
37,concerned,0,0.57735
38,curious,0,0.57735
39,happy,0,0.57735
40,silly,0,0.57735
41,squint,0,0.57735
