Rank,Target,Score,Precision
0,disgusted,1,1
1,worried,1,1
2,questioning,1,0.70711
3,serious,1,1
4,disappointed,1,1
5,unpleasant,1,1
6,gross,1,0.70711
7,intrigued,1,1
8,bad,1,1
9,pissed,1,0.5
10,dislike,1,1
11,weird,1,1
12,hate,1,1
13,sour,1,1
14,displeased,0.66667,0.57735
15,excited,0.5,0.70711
16,unhappy,0.5,0.70711
17,frustrated,0.5,0.70711
18,sassy,0,1
19,suprised,0,1
20,playful,0,1
21,funny,0,1
22,silly,0,1
23,upset,0,0.70711
24,cute,0,0.57735
25,sad,0,1
26,goofy,0,1
27,happy,0,1
28,surprised,0,1
29,crazy,0,0.70711
30,shocked,-1,1
31,boring,-1,1
32,annoyed,-1,1
33,squint,-1,1
34,concerned,-1,1
35,uncomfortable,-1,1
36,scared,-1,1
37,curious,-1,1
38,mad,-1,1
39,angry,-1,1
40,confused,-1,1
41,ugly,-1,1
