Rank,Target,Score,Precision
0,disbelief,0.80519,0.11396
1,repulsive,0.8,0.11547
2,repulsed,0.7973,0.11625
3,contempt,0.7971,0.12039
4,upset,0.78462,0.12403
5,disgust,0.76812,0.12039
6,aggravated,0.76271,0.13019
7,gross,0.75439,0.13245
8,tension,0.75439,0.13245
9,annoyed,0.75,0.13868
10,crying,0.72093,0.1525
11,fear,0.69231,0.16013
12,unhappy,0.68421,0.16222
13,horrified,0.65625,0.17678
14,anger,0.64516,0.17961
15,confusion,0.64516,0.17961
16,suspicious,0.63333,0.18257
17,nervous,0.62963,0.19245
18,frustrated,0.62963,0.19245
19,worried,0.61538,0.19612
20,irritated,0.6,0.2
21,other,0.58333,0.20412
22,concerned,0.57143,0.21822
23,confused,0.55,0.22361
24,nice,0.55,0.22361
25,sadness,0.54545,0.2132
26,shocked,0.52941,0.24254
27,unsure,0.52941,0.24254
28,surprise,0.5,0.25
29,revulsion,0.46667,0.2582
30,uncertain,0.46667,0.2582
31,calm,0.42857,0.26726
32,shock,0.41667,0.28868
33,cry,0.41667,0.28868
34,good,0.41667,0.28868
35,mad,0.36364,0.30151
36,funny,0.36364,0.30151
37,dislike,0.33333,0.33333
38,silly,0.33333,0.33333
39,naughty,0.33333,0.33333
40,thinking,0.25,0.35355
41,screaming,0.25,0.35355
42,scared,0.25,0.35355
43,questioning,0.2,0.31623
44,happiness,0.16667,0.40825
45,goofy,0,0.5
46,cute,0,0.5
47,playful,0,0.5
48,simple,0,0.5
49,skeptical,0,0.5
50,smile,0,0.5
