Rank,Target,Score,Precision
0,funny,1,0.70711
1,gross,1,1
2,playful,1,0.44721
3,repulsed,1,1
4,upset,1,0.70711
5,screaming,1,1
6,scared,1,0.70711
7,fear,1,0.70711
8,disbelief,1,0.44721
9,aggravated,1,1
10,nervous,1,1
11,horrified,1,0.70711
12,disgust,0.83333,0.40825
13,unsure,0.8,0.44721
14,revulsion,0.66667,0.57735
15,goofy,0.66667,0.57735
16,confused,0.66667,0.57735
17,tension,0.6,0.44721
18,dislike,0.6,0.44721
19,uncertain,0.6,0.44721
20,questioning,0.5,0.5
21,confusion,0.5,0.5
22,suspicious,0.5,0.70711
23,surprise,0.5,0.5
24,contempt,0.5,0.70711
25,cute,0.5,0.70711
26,simple,0.5,0.70711
27,worried,0.45455,0.30151
28,calm,0.44444,0.33333
29,shocked,0.4,0.44721
30,repulsive,0.33333,0.57735
31,other,0.33333,0.57735
32,thinking,0.25,0.5
33,concerned,0.25,0.5
34,crying,0.25,0.5
35,sadness,0,0.70711
36,happiness,0,0.57735
37,frustrated,0,1
38,annoyed,0,0.70711
39,naughty,0,0.5
40,mad,0,1
41,cry,0,1
42,good,0,0.70711
43,smile,0,0.5
44,shock,0,0.70711
45,silly,0,0.70711
46,unhappy,-1,1
47,nice,-1,1
48,skeptical,-1,1
49,anger,-1,1
50,irritated,-1,1
