Rank,Target,Score,Precision
0,gross,0.95349,0.10783
1,dislike,0.9009,0.09492
2,disgusted,0.9,0.09535
3,sour,0.84286,0.11952
4,displeased,0.79245,0.13736
5,goofy,0.76744,0.1525
6,weird,0.74359,0.16013
7,sassy,0.73684,0.16222
8,pissed,0.70588,0.1715
9,squint,0.7,0.18257
10,frustrated,0.68966,0.1857
11,questioning,0.65385,0.19612
12,unhappy,0.64,0.2
13,ugly,0.625,0.20412
14,crazy,0.61905,0.21822
15,silly,0.6,0.22361
16,uncomfortable,0.59091,0.2132
17,worried,0.57895,0.22942
18,shocked,0.57895,0.22942
19,suprised,0.5625,0.25
20,upset,0.55556,0.2357
21,concerned,0.55556,0.2357
22,serious,0.5,0.26726
23,intrigued,0.46154,0.27735
24,bad,0.45455,0.30151
25,mad,0.4,0.31623
26,curious,0.4,0.31623
27,sad,0.4,0.31623
28,funny,0.33333,0.33333
29,confused,0.33333,0.33333
30,boring,0.33333,0.33333
31,scared,0.33333,0.33333
32,playful,0.28571,0.37796
33,excited,0.25,0.35355
34,annoyed,0.2,0.44721
35,happy,0,0.5
36,disappointed,0,0.57735
37,hate,0,0.57735
38,cute,0,0.57735
39,unpleasant,0,0.57735
40,surprised,0,0.5
41,angry,0,0.5
