Rank,Target,Score,Precision
0,disgusted,1,0.57735
1,uncomfortable,1,0.70711
2,displeased,1,0.70711
3,bad,1,0.57735
4,sad,1,1
5,pissed,1,0.44721
6,angry,1,0.70711
7,worried,1,1
8,upset,1,0.40825
9,annoyed,0.75,0.5
10,mad,0.75,0.5
11,dislike,0.75,0.5
12,gross,0.75,0.5
13,unpleasant,0.75,0.5
14,hate,0.66667,0.57735
15,serious,0.6,0.44721
16,scared,0.6,0.44721
17,questioning,0.5,0.70711
18,concerned,0.5,0.70711
19,disappointed,0.5,0.70711
20,playful,0.5,0.5
21,unhappy,0.5,0.70711
22,surprised,0.5,0.70711
23,crazy,0.4,0.44721
24,weird,0.4,0.44721
25,ugly,0.33333,0.57735
26,excited,0.33333,0.57735
27,silly,0.25,0.5
28,squint,0.25,0.5
29,suprised,0.25,0.5
30,frustrated,0.2,0.44721
31,confused,0,0.44721
32,happy,0,0.44721
33,curious,0,0.5
34,shocked,0,1
35,cute,0,0.57735
36,funny,0,0.70711
37,boring,0,0.57735
38,sour,0,1
39,goofy,0,0.57735
40,sassy,0,0.70711
41,intrigued,-1,1
