Rank,Target,Score,Precision
0,horrified,0.875,0.08839
1,disgust,0.87288,0.09206
2,aggravated,0.79104,0.12217
3,goofy,0.76786,0.13363
4,annoyed,0.73913,0.14744
5,dislike,0.7,0.15811
6,repulsed,0.69231,0.16013
7,upset,0.68571,0.16903
8,confused,0.66667,0.17408
9,revulsion,0.65625,0.17678
10,worried,0.63235,0.12127
11,frustrated,0.62963,0.19245
12,naughty,0.62963,0.19245
13,unsure,0.6,0.2
14,funny,0.6,0.2
15,silly,0.6,0.2
16,skeptical,0.59091,0.2132
17,shocked,0.59091,0.2132
18,anger,0.57143,0.21822
19,questioning,0.55,0.22361
20,tension,0.55,0.22361
21,gross,0.54545,0.17408
22,sadness,0.52632,0.22942
23,irritated,0.5,0.25
24,unhappy,0.5,0.13868
25,fear,0.5,0.25
26,concerned,0.5,0.25
27,simple,0.46667,0.2582
28,uncertain,0.46154,0.27735
29,contempt,0.46154,0.27735
30,thinking,0.41667,0.28868
31,nice,0.36364,0.30151
32,disbelief,0.36364,0.30151
33,other,0.33333,0.33333
34,playful,0.33333,0.33333
35,mad,0.3,0.31623
36,smile,0.25,0.35355
37,happiness,0.25,0.35355
38,crying,0.25,0.35355
39,surprise,0.16667,0.40825
40,screaming,0.16667,0.40825
41,cute,0.16667,0.40825
42,suspicious,0.16667,0.40825
43,good,0,0.5
44,nervous,0,0.5
45,calm,0,0.5
46,scared,0,0.5
