Rank,Target,Score,Precision
0,questioning,0.82895,0.11471
1,unpleasant,0.8,0.12403
2,goofy,0.77778,0.13608
3,displeased,0.77358,0.13736
4,suprised,0.76,0.14142
5,uncomfortable,0.7551,0.14286
6,disappointed,0.75,0.15076
7,surprised,0.70588,0.1715
8,intrigued,0.69697,0.17408
9,confused,0.67857,0.18898
10,curious,0.65385,0.19612
11,dislike,0.65385,0.19612
12,crazy,0.64,0.2
13,weird,0.6087,0.20851
14,sour,0.58333,0.20412
15,pissed,0.57143,0.21822
16,playful,0.57143,0.21822
17,unhappy,0.57143,0.21822
18,frustrated,0.55556,0.2357
19,shocked,0.55556,0.2357
20,squint,0.54545,0.2132
21,ugly,0.52381,0.21822
22,silly,0.5,0.26726
23,concerned,0.5,0.26726
24,gross,0.5,0.26726
25,annoyed,0.5,0.25
26,disgusted,0.5,0.22361
27,upset,0.46154,0.27735
28,serious,0.4,0.31623
29,excited,0.16667,0.40825
30,scared,0.16667,0.40825
31,sassy,0.16667,0.40825
32,worried,0.16667,0.40825
33,boring,0.16667,0.40825
34,sad,0,0.5
35,happy,0,0.5
36,hate,0,0.5
37,funny,0,0.5
38,cute,0,0.5
39,mad,0,0.5
40,angry,0,0.5
41,bad,0,0.5
