Rank,Target,Score,Precision
0,displeased,1,0.70711
1,dislike,1,1
2,silly,1,0.57735
3,uncomfortable,1,0.33333
4,questioning,1,0.57735
5,serious,1,1
6,surprised,1,1
7,confused,0.66667,0.57735
8,upset,0.66667,0.57735
9,intrigued,0.66667,0.57735
10,boring,0.5,0.70711
11,weird,0.5,0.70711
12,sassy,0.5,0.70711
13,cute,0.5,0.70711
14,funny,0.5,0.70711
15,scared,0.5,0.70711
16,curious,0.5,0.5
17,annoyed,0.5,0.70711
18,happy,0.5,0.70711
19,suprised,0.5,0.70711
20,sour,0.33333,0.57735
21,squint,0.33333,0.57735
22,ugly,0.33333,0.40825
23,angry,0.33333,0.57735
24,hate,0.14286,0.37796
25,concerned,0,1
26,worried,0,1
27,playful,0,0.70711
28,crazy,0,1
29,pissed,0,1
30,frustrated,0,1
31,unpleasant,0,1
32,goofy,0,1
33,shocked,0,1
34,sad,0,1
35,mad,0,1
36,excited,0,0.70711
37,bad,-1,1
38,gross,-1,1
39,unhappy,-1,1
40,disappointed,-1,1
41,disgusted,-1,1
