Rank,Target,Score,Precision
0,gross,0.92079,0.0995
1,uncertain,0.9115,0.09407
2,annoyed,0.81538,0.12403
3,worried,0.80769,0.13868
4,concerned,0.79167,0.14434
5,aggravated,0.76667,0.1291
6,skeptical,0.7625,0.1118
7,questioning,0.71875,0.17678
8,shocked,0.71875,0.17678
9,disbelief,0.67857,0.18898
10,nervous,0.67857,0.18898
11,confused,0.65385,0.19612
12,upset,0.65217,0.20851
13,suspicious,0.64583,0.14434
14,tension,0.63636,0.2132
15,unsure,0.63636,0.2132
16,horrified,0.60606,0.17408
17,unhappy,0.6,0.22361
18,scared,0.58824,0.24254
19,irritated,0.58333,0.16667
20,silly,0.53333,0.2582
21,disgust,0.5,0.26726
22,contempt,0.5,0.1543
23,screaming,0.47826,0.20851
24,crying,0.47619,0.21822
25,surprise,0.46154,0.27735
26,simple,0.44,0.2
27,dislike,0.4375,0.25
28,thinking,0.43478,0.20851
29,frustrated,0.43333,0.18257
30,repulsed,0.4,0.31623
31,fear,0.375,0.35355
32,happiness,0.375,0.35355
33,revulsion,0.375,0.35355
34,goofy,0.375,0.35355
35,calm,0.36364,0.30151
36,anger,0.36364,0.30151
37,other,0.28571,0.37796
38,naughty,0.16667,0.40825
39,playful,0,0.5
40,nice,0,0.5
41,good,0,0.5
42,mad,0,0.5
43,sadness,0,0.57735
44,smile,0,0.5
45,funny,0,0.5
46,cute,0,0.57735
