Rank,Target,Score,Precision
0,disgust,1,0.70711
1,concerned,1,1
2,dislike,1,0.57735
3,suspicious,1,0.57735
4,uncertain,1,0.70711
5,unhappy,1,0.57735
6,upset,1,1
7,unsure,1,0.57735
8,questioning,1,1
9,confused,1,0.57735
10,disbelief,0.75,0.5
11,anger,0.66667,0.57735
12,nervous,0.66667,0.57735
13,contempt,0.66667,0.57735
14,frustrated,0.66667,0.57735
15,horrified,0.66667,0.57735
16,annoyed,0.66667,0.57735
17,other,0.66667,0.57735
18,calm,0.5,0.70711
19,aggravated,0.5,0.40825
20,revulsion,0.5,0.5
21,funny,0.5,0.70711
22,sadness,0.5,0.19612
23,scared,0.4,0.44721
24,surprise,0.4,0.44721
25,happiness,0.375,0.35355
26,thinking,0.33333,0.57735
27,repulsed,0.33333,0.57735
28,tension,0.33333,0.57735
29,screaming,0,0.70711
30,simple,0,0.70711
31,crying,0,1
32,mad,0,1
33,nice,0,0.70711
34,playful,0,0.57735
35,cute,0,0.70711
36,goofy,0,0.57735
37,skeptical,0,1
38,irritated,0,1
39,good,0,0.70711
40,smile,0,1
41,worried,-1,1
42,silly,-1,1
43,naughty,-1,1
44,fear,-1,1
45,gross,-1,1
46,shocked,-1,1
