Rank,Target,Score,Precision
0,disgusted,0.9,0.1118
1,uncomfortable,0.87671,0.11704
2,distraught,0.85714,0.12599
3,frightened,0.83019,0.13736
4,anxious,0.82692,0.13868
5,nervous,0.82692,0.13868
6,disbelief,0.81633,0.14286
7,strange,0.79487,0.16013
8,concerned,0.775,0.15811
9,shocked,0.75,0.17678
10,scared,0.73333,0.18257
11,unpleasant,0.72414,0.1857
12,worried,0.7037,0.19245
13,hurt,0.69231,0.19612
14,unhappy,0.66667,0.21822
15,bewildered,0.65625,0.17678
16,afraid,0.65217,0.20851
17,annoyed,0.65217,0.20851
18,terrified,0.63158,0.22942
19,surprised,0.63158,0.22942
20,fear,0.61111,0.2357
21,confused,0.58824,0.24254
22,upset,0.5625,0.25
23,intrigued,0.5,0.28868
24,angry,0.44444,0.33333
25,crying,0.44444,0.33333
26,sad,0.4,0.31623
27,sacred,0.375,0.35355
28,mad,0.375,0.35355
29,guilty,0.375,0.35355
30,bad,0.375,0.35355
31,dislike,0.2,0.44721
32,interested,0.2,0.44721
33,happy,0,0.57735
34,goofy,0,0.57735
35,funny,0,0.57735
36,excited,0,0.57735
37,crazy,0,0.57735
38,silly,0,0.57735
39,playful,0,0.57735
40,boring,0,0.5
41,kid,0,0.57735
