Rank,Target,Score,Precision
0,scared,1,0.57735
1,mad,1,1
2,fear,1,0.57735
3,angry,1,1
4,disbelief,1,1
5,disgusted,1,1
6,frightened,1,0.5
7,upset,1,1
8,confused,1,1
9,dislike,1,1
10,terrified,1,0.44721
11,distraught,0.66667,0.57735
12,crying,0.66667,0.57735
13,guilty,0.66667,0.57735
14,unhappy,0.5,0.5
15,bad,0.5,0.40825
16,unpleasant,0.5,0.70711
17,intrigued,0.5,0.5
18,afraid,0.5,0.70711
19,surprised,0.5,0.70711
20,concerned,0.5,0.70711
21,worried,0.5,0.70711
22,excited,0.5,0.70711
23,shocked,0.5,0.70711
24,sad,0.33333,0.57735
25,interested,0.25,0.5
26,bewildered,0.23077,0.27735
27,kid,0.16667,0.40825
28,crazy,0,1
29,annoyed,0,1
30,hurt,0,0.57735
31,boring,0,1
32,funny,0,1
33,happy,0,0.57735
34,anxious,0,0.70711
35,silly,0,1
36,goofy,0,1
37,strange,0,1
38,nervous,-1,1
39,uncomfortable,-1,1
40,sacred,-1,1
41,playful,-1,1
