Rank,Target,Score,Precision
0,horrified,0.91608,0.08362
1,fear,0.85366,0.11043
2,terror,0.83784,0.11625
3,confused,0.78947,0.13245
4,depressed,0.78,0.14142
5,uncertain,0.7381,0.1543
6,frightened,0.72222,0.16667
7,confusion,0.66667,0.18257
8,shock,0.65517,0.1857
9,shouting,0.65385,0.19612
10,cry,0.65217,0.20851
11,scared,0.625,0.20412
12,neutral,0.625,0.20412
13,shocked,0.6087,0.20851
14,unhappy,0.6087,0.20851
15,disgust,0.58333,0.20412
16,upset,0.57895,0.22942
17,disbelief,0.57895,0.22942
18,excited,0.55556,0.2357
19,unsure,0.53333,0.2582
20,concerned,0.53333,0.2582
21,terrified,0.52941,0.24254
22,shocking,0.52941,0.24254
23,teeth,0.5,0.26726
24,sadness,0.5,0.26726
25,apprehensive,0.5,0.26726
26,other,0.5,0.26726
27,anger,0.5,0.26726
28,smile,0.46667,0.2582
29,mad,0.46154,0.27735
30,startled,0.45455,0.30151
31,nervous,0.45455,0.30151
32,hurt,0.45455,0.30151
33,nice,0.45455,0.30151
34,stunned,0.4,0.31623
35,eye,0.33333,0.33333
36,skeptical,0.33333,0.33333
37,happiness,0.33333,0.33333
38,wow,0.33333,0.33333
39,screaming,0.28571,0.37796
40,afraid,0.28571,0.37796
41,cute,0.28571,0.37796
42,curious,0.28571,0.37796
43,silly,0.16667,0.40825
44,calm,0.16667,0.40825
45,anxious,0.16667,0.40825
46,black,0,0.5
47,surprise,0,0.5
48,worried,0,0.5
49,crying,0,0.5
