Rank,Target,Score,Precision
0,apprehensive,1,0.70711
1,terrified,1,0.70711
2,confusion,1,0.70711
3,nervous,1,0.57735
4,frightened,1,1
5,cry,1,0.5
6,startled,1,0.57735
7,horrified,1,1
8,mad,1,1
9,shocked,1,1
10,scared,1,1
11,wow,1,1
12,fear,1,1
13,disgust,0.75,0.5
14,shocking,0.66667,0.57735
15,unsure,0.66667,0.57735
16,terror,0.66667,0.57735
17,anger,0.66667,0.57735
18,skeptical,0.66667,0.57735
19,stunned,0.66667,0.57735
20,worried,0.57143,0.37796
21,hurt,0.5,0.70711
22,disbelief,0.5,0.70711
23,unhappy,0.5,0.5
24,teeth,0.5,0.70711
25,black,0.5,0.70711
26,curious,0.5,0.70711
27,anxious,0.5,0.5
28,surprise,0.5,0.70711
29,neutral,0.5,0.40825
30,upset,0.5,0.70711
31,afraid,0.5,0.70711
32,shock,0.5,0.5
33,silly,0.5,0.70711
34,confused,0.5,0.70711
35,happiness,0.33333,0.57735
36,concerned,0.33333,0.57735
37,crying,0.33333,0.57735
38,depressed,0.25,0.5
39,eye,0.2,0.44721
40,nice,0.2,0.44721
41,cute,0,0.5
42,smile,0,1
43,shouting,0,1
44,excited,0,1
45,calm,0,1
46,sadness,0,1
47,uncertain,-1,1
48,screaming,-1,1
49,other,-1,1
