Rank,Target,Score,Precision
0,distraught,0.90083,0.09091
1,frightened,0.89167,0.09129
2,unpleasant,0.82716,0.11111
3,disgusted,0.82353,0.12127
4,scared,0.81538,0.12403
5,uncomfortable,0.80282,0.11868
6,concerned,0.78431,0.14003
7,anxious,0.7619,0.1543
8,annoyed,0.70588,0.1715
9,nervous,0.67857,0.18898
10,intrigued,0.65517,0.1857
11,confused,0.65385,0.19612
12,surprised,0.64286,0.18898
13,unhappy,0.625,0.20412
14,shocked,0.6087,0.20851
15,worried,0.60714,0.18898
16,strange,0.59259,0.19245
17,bad,0.59091,0.2132
18,goofy,0.59091,0.2132
19,disbelief,0.57143,0.21822
20,dislike,0.55556,0.2357
21,crying,0.53333,0.2582
22,upset,0.52941,0.24254
23,mad,0.46154,0.27735
24,crazy,0.46154,0.27735
25,bewildered,0.42857,0.26726
26,hurt,0.42857,0.26726
27,sad,0.41667,0.28868
28,funny,0.4,0.31623
29,sacred,0.4,0.31623
30,afraid,0.4,0.31623
31,angry,0.4,0.31623
32,fear,0.36364,0.30151
33,happy,0.33333,0.33333
34,boring,0.28571,0.37796
35,interested,0.28571,0.37796
36,excited,0.28571,0.37796
37,silly,0.28571,0.37796
38,playful,0.28571,0.37796
39,terrified,0.14286,0.37796
40,kid,0,0.5
41,guilty,0,0.5
