Rank,Target,Score,Precision
0,crying,1,0.70711
1,frightened,1,0.44721
2,anxious,1,1
3,upset,1,1
4,bewildered,1,0.5
5,dislike,1,0.70711
6,bad,1,1
7,concerned,1,1
8,disbelief,0.8,0.44721
9,unhappy,0.75,0.5
10,disgusted,0.75,0.5
11,unpleasant,0.75,0.5
12,distraught,0.75,0.5
13,fear,0.75,0.5
14,afraid,0.66667,0.40825
15,annoyed,0.66667,0.57735
16,surprised,0.66667,0.57735
17,shocked,0.66667,0.57735
18,mad,0.57143,0.37796
19,playful,0.5,0.5
20,terrified,0.5,0.70711
21,strange,0.5,0.70711
22,kid,0.5,0.70711
23,sad,0.5,0.35355
24,uncomfortable,0.5,0.5
25,funny,0.5,0.70711
26,scared,0.42857,0.37796
27,excited,0.33333,0.57735
28,sacred,0.33333,0.40825
29,interested,0.33333,0.57735
30,intrigued,0.25,0.5
31,angry,0.25,0.5
32,worried,0.2,0.44721
33,hurt,0.16667,0.40825
34,silly,0,1
35,goofy,0,0.70711
36,boring,0,1
37,happy,0,0.44721
38,confused,0,1
39,crazy,0,0.70711
40,nervous,0,0.57735
41,guilty,-1,1
