Rank,Target,Score,Precision
0,fear,0.88957,0.07833
1,horrified,0.81609,0.10721
2,shocking,0.81319,0.10483
3,cry,0.7,0.15811
4,uncertain,0.67568,0.1644
5,scared,0.66667,0.14907
6,apprehensive,0.65714,0.16903
7,shocked,0.65625,0.17678
8,shock,0.64865,0.1644
9,worried,0.63889,0.16667
10,anxious,0.63333,0.18257
11,unhappy,0.61538,0.19612
12,confusion,0.61538,0.19612
13,upset,0.60714,0.18898
14,skeptical,0.60465,0.1525
15,confused,0.6,0.2
16,afraid,0.6,0.2
17,anger,0.6,0.2
18,disbelief,0.59524,0.1543
19,excited,0.59259,0.19245
20,depressed,0.59259,0.19245
21,hurt,0.58333,0.20412
22,frightened,0.57895,0.16222
23,terrified,0.57692,0.19612
24,nervous,0.57143,0.21822
25,unsure,0.57143,0.18898
26,disgust,0.55,0.22361
27,terror,0.55,0.22361
28,stunned,0.52381,0.21822
29,concerned,0.52174,0.20851
30,shouting,0.5,0.2357
31,silly,0.5,0.25
32,startled,0.5,0.25
33,curious,0.47059,0.24254
34,surprise,0.47059,0.24254
35,neutral,0.41667,0.28868
36,crying,0.41667,0.28868
37,black,0.38462,0.27735
38,wow,0.33333,0.28868
39,sadness,0.25,0.35355
40,teeth,0,0.5
41,cute,0,0.5
42,screaming,0,0.5
43,smile,0,0.5
44,nice,0,0.5
45,other,0,0.5
46,happiness,0,0.5
47,mad,0,0.5
48,eye,0,0.5
49,calm,0,0.5
