Rank,Target,Score,Precision
0,sadness,1,0.5
1,terror,1,0.5
2,frightened,1,0.70711
3,uncertain,1,1
4,startled,1,1
5,silly,1,0.70711
6,anxious,1,0.57735
7,shocking,1,1
8,terrified,1,0.70711
9,afraid,1,0.70711
10,apprehensive,1,0.57735
11,scared,1,0.70711
12,worried,1,1
13,shock,0.8,0.44721
14,curious,0.75,0.5
15,surprise,0.75,0.5
16,shocked,0.71429,0.37796
17,depressed,0.66667,0.57735
18,disbelief,0.66667,0.57735
19,hurt,0.66667,0.57735
20,horrified,0.66667,0.57735
21,disgust,0.66667,0.40825
22,crying,0.66667,0.57735
23,confusion,0.66667,0.57735
24,nervous,0.5,0.5
25,mad,0.5,0.70711
26,unhappy,0.5,0.70711
27,nice,0.5,0.70711
28,concerned,0.5,0.5
29,excited,0.5,0.5
30,upset,0.5,0.5
31,cute,0.5,0.5
32,wow,0.33333,0.57735
33,other,0.33333,0.57735
34,fear,0.33333,0.57735
35,shouting,0.25,0.5
36,cry,0.25,0.5
37,happiness,0,1
38,eye,0,0.5
39,anger,0,1
40,black,0,0.57735
41,smile,0,0.57735
42,screaming,0,1
43,unsure,0,0.70711
44,teeth,0,0.70711
45,calm,0,0.70711
46,neutral,0,0.70711
47,confused,-1,1
48,skeptical,-1,1
49,stunned,-1,1
