Rank,Target,Score,Precision
0,distraught,0.91667,0.09129
1,frightened,0.88172,0.1037
2,uncomfortable,0.86747,0.10976
3,bewildered,0.84507,0.11868
4,shocked,0.79592,0.14286
5,terrified,0.77273,0.12309
6,afraid,0.76744,0.1525
7,surprised,0.75,0.15811
8,disbelief,0.75,0.15811
9,concerned,0.75,0.15811
10,confused,0.74359,0.16013
11,anxious,0.71875,0.17678
12,worried,0.71875,0.17678
13,fear,0.66667,0.19245
14,unpleasant,0.64286,0.26726
15,scared,0.58065,0.17961
16,goofy,0.46154,0.27735
17,strange,0.45455,0.30151
18,bad,0.41667,0.28868
19,dislike,0.4,0.31623
20,guilty,0.4,0.31623
21,nervous,0.375,0.35355
22,boring,0.375,0.35355
23,angry,0.28571,0.37796
24,silly,0.28571,0.37796
25,unhappy,0.28571,0.37796
26,intrigued,0.28571,0.37796
27,sad,0.28571,0.37796
28,annoyed,0.22222,0.33333
29,crying,0.2,0.44721
30,crazy,0.2,0.44721
31,upset,0.2,0.44721
32,excited,0.2,0.44721
33,mad,0.2,0.44721
34,funny,0.16667,0.40825
35,hurt,0,0.57735
36,interested,0,0.44721
37,disgusted,0,0.57735
38,kid,0,0.57735
39,sacred,0,0.57735
40,playful,0,0.57735
41,happy,0,0.57735
