Rank,Target,Score,Precision
0,horrified,0.90385,0.08006
1,terrified,0.88,0.08165
2,shocked,0.81707,0.11043
3,terror,0.81429,0.11952
4,stunned,0.81081,0.11625
5,scared,0.79688,0.125
6,depressed,0.79518,0.10976
7,frightened,0.75789,0.1026
8,hurt,0.74468,0.14586
9,shocking,0.68421,0.16222
10,anxious,0.67442,0.1525
11,disgust,0.66667,0.12599
12,afraid,0.625,0.20412
13,fear,0.5625,0.14434
14,excited,0.55556,0.2357
15,startled,0.55,0.22361
16,confused,0.54762,0.10911
17,wow,0.52632,0.22942
18,screaming,0.51429,0.16903
19,nervous,0.5,0.26726
20,calm,0.5,0.25
21,teeth,0.46154,0.27735
22,other,0.46154,0.27735
23,crying,0.44444,0.2357
24,curious,0.41667,0.28868
25,disbelief,0.41667,0.28868
26,happiness,0.41667,0.28868
27,skeptical,0.41667,0.28868
28,neutral,0.41667,0.28868
29,surprise,0.4,0.31623
30,sadness,0.36364,0.30151
31,smile,0.35714,0.26726
32,upset,0.35714,0.26726
33,apprehensive,0.33333,0.33333
34,anger,0.33333,0.28868
35,unsure,0.28571,0.37796
36,worried,0.28571,0.37796
37,eye,0.28571,0.37796
38,silly,0.28571,0.37796
39,concerned,0.22222,0.33333
40,uncertain,0.16667,0.40825
41,cute,0.16667,0.40825
42,black,0.16667,0.40825
43,nice,0.16667,0.40825
44,mad,0.16667,0.40825
45,shouting,0.16667,0.40825
46,unhappy,0,0.5
