Rank,Target,Score,Precision
0,terror,1,1
1,startled,1,1
2,neutral,1,0.70711
3,disbelief,1,0.70711
4,anger,1,0.70711
5,stunned,0.75,0.5
6,terrified,0.75,0.5
7,horrified,0.71429,0.37796
8,fear,0.66667,0.40825
9,sadness,0.66667,0.57735
10,scared,0.625,0.35355
11,surprise,0.625,0.35355
12,depressed,0.6,0.44721
13,upset,0.6,0.44721
14,mad,0.5,0.70711
15,hurt,0.5,0.70711
16,shouting,0.5,0.70711
17,uncertain,0.5,0.5
18,cute,0.5,0.5
19,apprehensive,0.5,0.70711
20,shocked,0.5,0.70711
21,nervous,0.5,0.70711
22,happiness,0.5,0.70711
23,skeptical,0.42857,0.37796
24,crying,0.33333,0.57735
25,curious,0.33333,0.40825
26,anxious,0.33333,0.57735
27,other,0.33333,0.33333
28,teeth,0.33333,0.57735
29,unsure,0.33333,0.57735
30,confused,0.25,0.5
31,wow,0,0.70711
32,eye,0,1
33,disgust,0,0.70711
34,worried,0,0.70711
35,nice,0,0.70711
36,silly,0,0.70711
37,smile,0,1
38,frightened,0,1
39,concerned,0,1
40,excited,0,0.44721
41,calm,0,0.5
42,black,0,0.57735
43,unhappy,-1,1
44,afraid,-1,1
45,screaming,-1,1
46,shocking,-1,1
