Rank,Target,Score,Precision
0,disgust,0.87629,0.10153
1,shocking,0.85556,0.10541
2,scared,0.83333,0.11323
3,shocked,0.83099,0.11868
4,unhappy,0.80645,0.127
5,depressed,0.76087,0.14744
6,terrified,0.71795,0.16013
7,frightened,0.6875,0.17678
8,disbelief,0.67742,0.17961
9,worried,0.66667,0.18257
10,apprehensive,0.65625,0.17678
11,uncertain,0.65517,0.1857
12,upset,0.65385,0.19612
13,anxious,0.64,0.2
14,afraid,0.625,0.20412
15,nervous,0.59259,0.19245
16,stunned,0.55,0.22361
17,horrified,0.53333,0.2582
18,terror,0.52941,0.24254
19,silly,0.52941,0.24254
20,concerned,0.52941,0.24254
21,skeptical,0.5,0.26726
22,black,0.5,0.25
23,fear,0.5,0.25
24,mad,0.46154,0.27735
25,teeth,0.46154,0.27735
26,hurt,0.46154,0.27735
27,cute,0.41667,0.28868
28,crying,0.41667,0.28868
29,excited,0.4,0.31623
30,other,0.4,0.31623
31,anger,0.4,0.31623
32,wow,0.36364,0.30151
33,unsure,0.35714,0.26726
34,eye,0.33333,0.33333
35,curious,0.28571,0.37796
36,confused,0.25,0.35355
37,surprise,0.25,0.35355
38,neutral,0.16667,0.40825
39,nice,0.16667,0.40825
40,startled,0.16667,0.40825
41,screaming,0.16667,0.40825
42,sadness,0.16667,0.40825
43,smile,0,0.5
44,shouting,0,0.5
45,calm,0,0.5
46,happiness,0,0.5
