Rank,Target,Score,Precision
0,depressed,1,1
1,startled,1,1
2,scared,1,1
3,curious,1,0.70711
4,shocking,1,1
5,upset,1,0.70711
6,disgust,1,1
7,worried,1,1
8,terrified,1,0.57735
9,confused,1,0.70711
10,uncertain,1,0.57735
11,shouting,1,0.70711
12,unsure,0.83333,0.40825
13,concerned,0.8,0.44721
14,silly,0.75,0.5
15,disbelief,0.75,0.5
16,horrified,0.75,0.5
17,skeptical,0.66667,0.57735
18,stunned,0.66667,0.57735
19,frightened,0.66667,0.57735
20,anger,0.66667,0.57735
21,shocked,0.66667,0.57735
22,mad,0.66667,0.57735
23,afraid,0.6,0.44721
24,anxious,0.6,0.44721
25,apprehensive,0.57143,0.37796
26,screaming,0.5,0.5
27,crying,0.5,0.70711
28,fear,0.5,0.70711
29,unhappy,0.5,0.70711
30,terror,0.5,0.70711
31,surprise,0.44444,0.33333
32,neutral,0.42857,0.37796
33,excited,0.33333,0.57735
34,nervous,0.33333,0.40825
35,eye,0.33333,0.57735
36,calm,0.25,0.5
37,other,0.25,0.5
38,happiness,0.25,0.5
39,wow,0,0.70711
40,black,0,0.5
41,smile,0,0.70711
42,hurt,0,0.70711
43,teeth,0,0.57735
44,nice,0,0.57735
45,cute,-1,1
46,sadness,-1,1
