Rank,Target,Score,Precision
0,proud,0.8186,0.0682
1,satisfied,0.81046,0.08085
2,enthusiastic,0.74074,0.11111
3,content,0.71831,0.11868
4,interested,0.65306,0.14286
5,eager,0.625,0.15811
6,silly,0.625,0.15811
7,pleased,0.61111,0.16667
8,cheerful,0.60976,0.15617
9,grinning,0.60976,0.15617
10,chill,0.6,0.16903
11,calm,0.6,0.16903
12,boring,0.58824,0.12127
13,intrigued,0.56452,0.127
14,smiling,0.55556,0.19245
15,comfortable,0.55,0.15811
16,well,0.54545,0.17408
17,confident,0.52174,0.20851
18,goofy,0.51613,0.17961
19,playful,0.5,0.18257
20,cute,0.44444,0.2357
21,teeth,0.42857,0.1543
22,uncomfortable,0.38462,0.27735
23,funny,0.38462,0.27735
24,excited,0.38462,0.27735
25,surprised,0.375,0.25
26,happy,0.34615,0.19612
27,unpleasant,0.33333,0.2582
28,joyful,0.3,0.31623
29,thrilled,0.22222,0.33333
30,confused,0.14286,0.37796
31,smug,0,0.44721
32,unhappy,0,0.44721
