Rank,Target,Score,Precision
0,interested,0.85621,0.08085
1,friendly,0.78218,0.0995
2,pleasant,0.77895,0.1026
3,smile,0.76923,0.10483
4,relaxed,0.7619,0.10911
5,content,0.75,0.11471
6,cheerful,0.73913,0.12039
7,happiness,0.69231,0.13868
8,carefree,0.66667,0.14907
9,hopeful,0.64103,0.16013
10,nice,0.62857,0.16903
11,amusement,0.6,0.18257
12,confident,0.57143,0.18898
13,good,0.57143,0.18898
14,normal,0.56,0.2
15,fun,0.54167,0.20412
16,joy,0.52381,0.21822
17,smiling,0.52381,0.21822
18,smiled,0.52381,0.21822
19,pleased,0.52381,0.21822
20,glad,0.5,0.22361
21,excited,0.5,0.22361
22,laughing,0.47368,0.22942
23,active,0.47368,0.22942
24,amused,0.4375,0.25
25,social,0.42857,0.26726
26,surprise,0.36364,0.30151
27,cute,0.3,0.31623
28,uncertain,0.3,0.31623
29,teeth,0.3,0.31623
30,funny,0.25,0.35355
31,smug,0.25,0.35355
32,love,0.16667,0.40825
33,sadness,0.16667,0.40825
34,calm,0.16667,0.40825
35,eager,0.16667,0.40825
36,neutral,0.16667,0.40825
37,joyful,0,0.44721
38,other,0,0.5
39,hair,0,0.44721
