Rank,Target,Score,Precision
0,normal,1,0.70711
1,confident,1,0.70711
2,interested,1,0.5
3,neutral,1,0.70711
4,pleasant,1,0.70711
5,friendly,0.75,0.5
6,cheerful,0.75,0.5
7,cute,0.66667,0.57735
8,carefree,0.66667,0.57735
9,teeth,0.66667,0.33333
10,relaxed,0.66667,0.57735
11,other,0.66667,0.57735
12,content,0.6,0.31623
13,hopeful,0.55556,0.33333
14,funny,0.5,0.70711
15,eager,0.5,0.5
16,active,0.5,0.5
17,happiness,0.5,0.5
18,joy,0.5,0.40825
19,good,0.41667,0.28868
20,love,0.4,0.44721
21,joyful,0.4,0.44721
22,smile,0.33333,0.57735
23,nice,0.33333,0.57735
24,pleased,0.33333,0.40825
25,social,0.33333,0.40825
26,surprise,0.25,0.5
27,smiling,0.25,0.5
28,smug,0.25,0.5
29,calm,0.2,0.44721
30,amusement,0,0.57735
31,excited,0,0.57735
32,uncertain,0,0.35355
33,glad,0,1
34,smiled,0,1
35,sadness,0,0.70711
36,hair,0,0.5
37,laughing,0,0.44721
38,fun,-1,1
39,amused,-1,1
