Rank,Target,Score,Precision
0,funny,0.90541,0.06712
1,smiling,0.88321,0.08544
2,pleased,0.82,0.1
3,confident,0.81633,0.10102
4,comfortable,0.79221,0.11396
5,content,0.76812,0.12039
6,happy,0.7541,0.12804
7,chill,0.73077,0.13868
8,joyful,0.66667,0.16667
9,teeth,0.66667,0.16667
10,playful,0.63333,0.18257
11,eager,0.63333,0.18257
12,calm,0.6,0.2
13,grinning,0.58333,0.20412
14,cheerful,0.56522,0.20851
15,interested,0.55,0.22361
16,goofy,0.54545,0.2132
17,well,0.5,0.25
18,confused,0.5,0.22361
19,unhappy,0.5,0.2357
20,silly,0.5,0.2357
21,thrilled,0.5,0.25
22,satisfied,0.46667,0.2582
23,smug,0.46667,0.2582
24,intrigued,0.46667,0.2582
25,cute,0.46667,0.2582
26,excited,0.42857,0.26726
27,surprised,0.41667,0.28868
28,uncomfortable,0.33333,0.33333
29,unpleasant,0.33333,0.33333
30,proud,0.25,0.35355
31,boring,0.16667,0.40825
32,enthusiastic,0,0.5
