Rank,Target,Score,Precision
0,pleasant,0.81132,0.09713
1,smiling,0.75904,0.10976
2,smiled,0.74667,0.11547
3,friendly,0.71186,0.13019
4,interested,0.67797,0.13019
5,pleased,0.67164,0.12217
6,cheerful,0.65385,0.13868
7,amused,0.61765,0.1715
8,joyful,0.61628,0.10783
9,amusement,0.60606,0.17408
10,relaxed,0.59375,0.17678
11,laughing,0.58621,0.1857
12,surprise,0.56,0.2
13,nice,0.54167,0.20412
14,glad,0.54167,0.20412
15,neutral,0.52381,0.21822
16,fun,0.52381,0.21822
17,love,0.47368,0.22942
18,good,0.47059,0.24254
19,confident,0.47059,0.24254
20,social,0.47059,0.24254
21,smile,0.47059,0.24254
22,eager,0.4375,0.25
23,excited,0.4,0.2
24,normal,0.38462,0.27735
25,cute,0.33333,0.28868
26,hopeful,0.33333,0.28868
27,content,0.3,0.31623
28,joy,0.3,0.31623
29,uncertain,0.25,0.35355
30,calm,0.25,0.35355
31,other,0.25,0.35355
32,hair,0.25,0.35355
33,active,0.25,0.35355
34,happiness,0.25,0.35355
35,teeth,0.16667,0.40825
36,funny,0.16667,0.40825
37,sadness,0.16667,0.40825
38,smug,0.16667,0.40825
39,carefree,0.14286,0.37796
