Rank,Target,Score,Precision
0,pleasant,1,0.70711
1,smiling,1,0.57735
2,teeth,1,0.70711
3,smiled,1,1
4,social,1,0.5
5,glad,0.8,0.44721
6,eager,0.8,0.44721
7,content,0.75,0.5
8,amused,0.75,0.35355
9,friendly,0.75,0.5
10,hair,0.66667,0.57735
11,happiness,0.6,0.44721
12,normal,0.57143,0.37796
13,good,0.5,0.70711
14,love,0.5,0.70711
15,excited,0.5,0.70711
16,calm,0.5,0.70711
17,pleased,0.5,0.5
18,other,0.5,0.70711
19,joyful,0.5,0.70711
20,fun,0.5,0.70711
21,amusement,0.5,0.26726
22,nice,0.33333,0.57735
23,cute,0.33333,0.57735
24,hopeful,0.25,0.5
25,joy,0.25,0.5
26,surprise,0.25,0.5
27,confident,0,1
28,laughing,0,1
29,cheerful,0,1
30,uncertain,0,0.70711
31,sadness,0,1
32,carefree,0,0.70711
33,smug,0,0.70711
34,active,0,0.70711
35,neutral,0,1
36,relaxed,-1,1
37,funny,-1,1
38,interested,-1,1
39,smile,-1,1
