Rank,Target,Score,Precision
0,satisfied,0.88889,0.08607
1,content,0.84536,0.10153
2,funny,0.82353,0.10847
3,interested,0.80556,0.11785
4,smug,0.79104,0.12217
5,calm,0.74138,0.13131
6,chill,0.74,0.14142
7,intrigued,0.73913,0.14744
8,cheerful,0.72727,0.15076
9,well,0.72727,0.15076
10,surprised,0.72727,0.15076
11,comfortable,0.70732,0.15617
12,pleased,0.7027,0.1644
13,smiling,0.62963,0.19245
14,grinning,0.62963,0.19245
15,confident,0.61905,0.1543
16,happy,0.6,0.2
17,goofy,0.57143,0.21822
18,playful,0.55,0.22361
19,joyful,0.52632,0.22942
20,boring,0.4,0.31623
21,eager,0.33333,0.28868
22,enthusiastic,0.28571,0.37796
23,cute,0.28571,0.37796
24,uncomfortable,0.28571,0.37796
25,proud,0.28571,0.37796
26,unpleasant,0.25,0.35355
27,thrilled,0.16667,0.40825
28,unhappy,0.16667,0.40825
29,confused,0.16667,0.40825
30,teeth,0.16667,0.40825
31,silly,0,0.5
32,excited,0,0.44721
