Rank,Target,Score,Precision
0,smiling,0.87023,0.08737
1,amused,0.86087,0.09325
2,amusement,0.84694,0.10102
3,neutral,0.80519,0.11396
4,calm,0.77049,0.12804
5,smug,0.75926,0.13608
6,glad,0.75472,0.13736
7,laughing,0.7451,0.14003
8,cheerful,0.73469,0.14286
9,happiness,0.72727,0.15076
10,normal,0.72727,0.15076
11,content,0.72093,0.1525
12,relaxed,0.66667,0.17408
13,confident,0.64286,0.18898
14,pleasant,0.63333,0.18257
15,friendly,0.63333,0.18257
16,pleased,0.62963,0.19245
17,cute,0.62963,0.19245
18,interested,0.61538,0.19612
19,hopeful,0.59091,0.2132
20,eager,0.52381,0.21822
21,funny,0.46667,0.2582
22,social,0.46154,0.27735
23,active,0.46154,0.27735
24,fun,0.41667,0.28868
25,hair,0.41667,0.28868
26,excited,0.3,0.31623
27,other,0.3,0.31623
28,teeth,0.25,0.35355
29,nice,0.25,0.35355
30,uncertain,0.25,0.35355
31,love,0.25,0.35355
32,carefree,0.16667,0.40825
33,joy,0.16667,0.40825
34,surprise,0.16667,0.40825
35,sadness,0,0.5
36,good,0,0.5
