Rank,Target,Score,Precision
0,pleased,1,0.70711
1,content,1,0.70711
2,hopeful,1,0.70711
3,nice,1,0.70711
4,good,1,0.57735
5,neutral,0.83333,0.40825
6,smiling,0.8,0.44721
7,interested,0.75,0.5
8,amusement,0.75,0.5
9,amused,0.75,0.5
10,uncertain,0.75,0.5
11,happiness,0.75,0.5
12,glad,0.75,0.35355
13,joy,0.66667,0.40825
14,love,0.66667,0.57735
15,pleasant,0.66667,0.33333
16,calm,0.6,0.44721
17,carefree,0.5,0.40825
18,surprise,0.5,0.5
19,normal,0.33333,0.57735
20,smug,0.33333,0.57735
21,hair,0.33333,0.33333
22,relaxed,0.33333,0.57735
23,cute,0.33333,0.40825
24,sadness,0.25,0.5
25,funny,0.25,0.5
26,fun,0,0.40825
27,teeth,0,0.57735
28,other,0,1
29,active,0,0.70711
30,laughing,0,0.57735
31,social,0,0.70711
32,friendly,0,0.70711
33,cheerful,0,0.57735
34,excited,0,0.5
35,eager,0,1
36,confident,0,0.70711
