Rank,Target,Score,Precision
0,well,0.91705,0.06788
1,smiling,0.9027,0.07352
2,happy,0.82828,0.1005
3,joyful,0.78571,0.11952
4,boring,0.76271,0.13019
5,content,0.70732,0.15617
6,uncomfortable,0.70732,0.15617
7,satisfied,0.66667,0.16667
8,cheerful,0.66667,0.17408
9,cute,0.64516,0.17961
10,chill,0.58333,0.20412
11,pleased,0.57143,0.21822
12,excited,0.57143,0.21822
13,confused,0.57143,0.21822
14,enthusiastic,0.55,0.22361
15,comfortable,0.55,0.22361
16,grinning,0.52632,0.22942
17,proud,0.52632,0.22942
18,eager,0.5,0.2357
19,interested,0.5,0.25
20,teeth,0.5,0.2357
21,surprised,0.46667,0.2582
22,intrigued,0.42857,0.26726
23,confident,0.41667,0.28868
24,thrilled,0.41667,0.28868
25,calm,0.36364,0.30151
26,unhappy,0.36364,0.30151
27,playful,0.36364,0.30151
28,goofy,0.33333,0.33333
29,silly,0.16667,0.40825
30,smug,0,0.5
31,unpleasant,0,0.5
32,funny,0,0.5
