Rank,Target,Score,Precision
0,smiling,0.89381,0.06652
1,happiness,0.82243,0.09667
2,cute,0.81481,0.13608
3,joy,0.8022,0.10483
4,laughing,0.7931,0.10721
5,content,0.78205,0.11323
6,glad,0.70588,0.14003
7,cheerful,0.69565,0.14744
8,relaxed,0.66667,0.16013
9,amused,0.65714,0.16903
10,friendly,0.64865,0.1644
11,pleased,0.62069,0.1857
12,love,0.60714,0.18898
13,active,0.56522,0.20851
14,amusement,0.54545,0.2132
15,good,0.52632,0.22942
16,excited,0.5,0.2357
17,interested,0.47059,0.24254
18,fun,0.47059,0.24254
19,teeth,0.46667,0.2582
20,surprise,0.44444,0.2357
21,normal,0.38462,0.27735
22,confident,0.36364,0.30151
23,calm,0.35714,0.26726
24,hopeful,0.3,0.31623
25,neutral,0.3,0.31623
26,nice,0.27273,0.30151
27,carefree,0.25,0.35355
28,social,0.16667,0.40825
29,funny,0.16667,0.40825
30,smug,0.16667,0.40825
31,other,0,0.5
32,eager,0,0.37796
33,pleasant,0,0.5
34,sadness,0,0.5
35,uncertain,0,0.37796
36,hair,0,0.5
