Rank,Target,Score,Precision
0,normal,1,0.70711
1,joy,1,0.57735
2,smiling,1,1
3,hopeful,1,0.57735
4,glad,1,0.57735
5,teeth,1,0.5
6,laughing,1,1
7,friendly,1,0.57735
8,cheerful,1,0.70711
9,good,1,0.70711
10,pleased,0.75,0.5
11,happiness,0.66667,0.57735
12,love,0.66667,0.57735
13,cute,0.66667,0.57735
14,pleasant,0.66667,0.57735
15,amused,0.6,0.44721
16,fun,0.57143,0.37796
17,hair,0.5,0.70711
18,interested,0.5,0.70711
19,content,0.5,0.5
20,neutral,0.5,0.70711
21,nice,0.5,0.70711
22,relaxed,0.5,0.40825
23,excited,0.5,0.70711
24,surprise,0.33333,0.57735
25,uncertain,0.25,0.5
26,funny,0.22222,0.33333
27,other,0.2,0.44721
28,amusement,0,1
29,social,0,0.5
30,confident,0,1
31,eager,0,0.70711
32,sadness,0,0.70711
33,smug,0,0.5
34,active,-1,1
35,calm,-1,1
36,carefree,-1,1
