Rank,Target,Score,Precision
0,upset,0.84,0.11547
1,unhappy,0.83562,0.11704
2,devastated,0.83516,0.10483
3,sadness,0.7931,0.13131
4,crying,0.78846,0.13868
5,emotional,0.78,0.14142
6,tears,0.77083,0.14434
7,heartbroken,0.75862,0.13131
8,distraught,0.75,0.14434
9,sad,0.7381,0.1543
10,distressed,0.71429,0.16903
11,loss,0.70588,0.1715
12,tearful,0.70588,0.1715
13,disappointed,0.66667,0.19245
14,confused,0.625,0.20412
15,unpleasant,0.6,0.22361
16,uncomfortable,0.6,0.22361
17,cry,0.58333,0.20412
18,tired,0.57895,0.22942
19,frustrated,0.52941,0.24254
20,annoyed,0.52632,0.22942
21,hurt,0.5,0.26726
22,shocked,0.46154,0.27735
23,regret,0.46154,0.27735
24,disgusted,0.46154,0.27735
25,concerned,0.45455,0.30151
26,remorseful,0.4,0.31623
27,scared,0.4,0.31623
28,serious,0.4,0.31623
29,worried,0.38462,0.27735
30,bad,0.33333,0.33333
31,calm,0.33333,0.33333
32,boring,0.28571,0.37796
33,displeased,0.28571,0.37796
34,depressed,0.28571,0.37796
35,angry,0.28571,0.37796
36,regretful,0.28571,0.37796
37,blank,0.22222,0.33333
38,content,0.14286,0.37796
39,focused,0,0.5
40,guilty,0,0.5
41,mad,0,0.5
42,ugly,0,0.5
