Rank,Target,Score,Precision
0,sadness,-1,1
1,anxiety,-1,1
2,despair,-1,1
3,bothered,-1,1
4,serious,-1,1
5,hopeless,-1,1
6,calm,-1,1
7,cute,-1,1
8,sorrow,-1,1
9,simply,-1,1
10,fair,-1,1
11,indifferent,-1,1
12,normal,-1,1
13,disappointed,-1,1
14,mad,-1,1
15,tired,-1,1
16,emotional,-1,1
17,confused,-1,1
18,upset,-1,1
19,crying,-1,1
20,anger,-1,1
21,fear,-1,1
22,scared,-1,1
23,unhappy,-1,1
24,unsure,-1,1
25,worried,-1,1
26,neutral,-1,1
27,depressed,-1,1
28,hurt,-1,1
29,annoyed,-1,1
30,other,-1,1
31,heartbroken,-1,1
32,disgust,-1,1
33,uncertain,-1,1
