Rank,Target,Score,Precision
0,heartbroken,0.89388,0.06389
1,sorrow,0.85065,0.08058
2,emotional,0.82353,0.09167
3,despair,0.80952,0.09759
4,sadness,0.79787,0.10314
5,crying,0.77778,0.11111
6,hurt,0.77215,0.11251
7,worried,0.72881,0.13019
8,depressed,0.69565,0.14744
9,hopeless,0.68182,0.15076
10,upset,0.67442,0.1525
11,disappointed,0.6,0.2
12,bothered,0.5,0.2357
13,other,0.5,0.2357
14,scared,0.47059,0.24254
15,tired,0.38462,0.27735
16,disgust,0.35714,0.26726
17,serious,0.35714,0.26726
18,confused,0.33333,0.28868
19,unsure,0.33333,0.28868
20,anxiety,0.3,0.31623
21,normal,0.3,0.31623
22,unhappy,0.25,0.35355
23,uncertain,0.14286,0.37796
24,mad,0.14286,0.37796
25,fear,0.125,0.35355
26,simply,0.125,0.35355
27,calm,0.11111,0.33333
28,anger,0,0.5
29,cute,0,0.5
30,neutral,0,0.5
31,fair,0,0.44721
32,indifferent,0,0.40825
33,annoyed,0,0.5
