Rank,Target,Score,Precision
0,distressed,0.87692,0.12403
1,depressed,0.85,0.1291
2,distraught,0.84483,0.13131
3,sadness,0.83871,0.127
4,hurt,0.83673,0.14286
5,sad,0.81481,0.13608
6,crying,0.81481,0.13608
7,cry,0.80952,0.1543
8,tearful,0.80488,0.15617
9,worried,0.79167,0.14434
10,disappointed,0.78947,0.16222
11,heartbroken,0.78261,0.14744
12,tears,0.75,0.16667
13,upset,0.75,0.17678
14,loss,0.72727,0.17408
15,devastated,0.68966,0.1857
16,emotional,0.68182,0.2132
17,shocked,0.66667,0.21822
18,uncomfortable,0.65,0.22361
19,concerned,0.61111,0.2357
20,remorseful,0.57895,0.22942
21,scared,0.45455,0.30151
22,serious,0.45455,0.30151
23,frustrated,0.44444,0.33333
24,unhappy,0.44444,0.33333
25,calm,0.28571,0.37796
26,ugly,0.2,0.44721
27,regretful,0.2,0.44721
28,annoyed,0.2,0.44721
29,regret,0.2,0.44721
30,disgusted,0.2,0.44721
31,boring,0,0.57735
32,bad,0,0.57735
33,tired,0,0.57735
34,blank,0,0.57735
35,displeased,0,0.57735
36,confused,0,0.57735
37,focused,0,0.57735
38,mad,0,0.57735
39,content,0,0.57735
40,guilty,0,0.57735
41,angry,0,0.57735
42,unpleasant,0,0.57735
