Rank,Target,Score,Precision
0,heartbroken,0.93462,0.06202
1,sorrow,0.89375,0.07906
2,worried,0.87407,0.08607
3,sadness,0.84685,0.09492
4,upset,0.84112,0.09667
5,unhappy,0.78125,0.125
6,crying,0.74,0.14142
7,anxiety,0.7,0.15811
8,fear,0.66667,0.17408
9,confused,0.66667,0.17408
10,hurt,0.64516,0.17961
11,despair,0.625,0.14434
12,scared,0.59091,0.2132
13,hopeless,0.58333,0.20412
14,anger,0.57143,0.21822
15,depressed,0.57143,0.21822
16,indifferent,0.52941,0.24254
17,disgust,0.52632,0.22942
18,bothered,0.52632,0.22942
19,tired,0.52632,0.22942
20,other,0.46667,0.2582
21,cute,0.46154,0.27735
22,serious,0.41667,0.28868
23,emotional,0.41667,0.28868
24,normal,0.25,0.35355
25,annoyed,0.25,0.35355
26,neutral,0.25,0.35355
27,calm,0.16667,0.40825
28,unsure,0.16667,0.40825
29,simply,0.16667,0.40825
30,uncertain,0.16667,0.40825
31,fair,0,0.5
32,disappointed,0,0.5
33,mad,0,0.5
