Rank,Target,Score,Precision
0,sad,0.87234,0.08422
1,disappointed,0.8595,0.09091
2,angry,0.837,0.06637
3,uncomfortable,0.8,0.11547
4,concerned,0.78873,0.11868
5,displeased,0.78571,0.11952
6,remorseful,0.77612,0.12217
7,emotional,0.75439,0.13245
8,regretful,0.7451,0.14003
9,upset,0.71429,0.1543
10,shocked,0.68493,0.08276
11,worried,0.66964,0.09449
12,regret,0.66667,0.17408
13,tired,0.625,0.17678
14,heartbroken,0.62069,0.1857
15,unhappy,0.60714,0.18898
16,tearful,0.6,0.2
17,crying,0.6,0.2
18,depressed,0.58333,0.07715
19,focused,0.52941,0.24254
20,unpleasant,0.52632,0.22942
21,distraught,0.5,0.25
22,tears,0.5,0.2357
23,hurt,0.5,0.25
24,sadness,0.4823,0.06652
25,scared,0.46667,0.2582
26,frustrated,0.46667,0.2582
27,distressed,0.33333,0.33333
28,guilty,0.30435,0.20851
29,disgusted,0.25,0.35355
30,calm,0.25,0.35355
31,confused,0.25,0.35355
32,bad,0.16667,0.40825
33,devastated,0.16667,0.40825
34,serious,0.16667,0.40825
35,loss,0.16667,0.40825
36,ugly,0,0.5
37,content,0,0.5
38,boring,0,0.5
39,annoyed,0,0.5
40,cry,0,0.5
41,blank,0,0.40825
42,mad,0,0.5
