Rank,Target,Score,Precision
0,heartbroken,0.92053,0.05754
1,serious,0.89686,0.06696
2,bothered,0.80435,0.10426
3,anger,0.76471,0.1715
4,disappointed,0.76389,0.11785
5,upset,0.74194,0.127
6,anxiety,0.71429,0.14286
7,depressed,0.71154,0.13868
8,despair,0.70213,0.14586
9,sadness,0.68889,0.14907
10,hurt,0.68182,0.15076
11,disgust,0.675,0.15811
12,annoyed,0.65714,0.16903
13,worried,0.64865,0.1644
14,emotional,0.62069,0.1857
15,confused,0.54545,0.17408
16,simply,0.54545,0.2132
17,sorrow,0.53846,0.19612
18,normal,0.52632,0.22942
19,hopeless,0.52632,0.22942
20,unhappy,0.52381,0.21822
21,unsure,0.52174,0.20851
22,fear,0.5,0.2357
23,fair,0.47059,0.24254
24,scared,0.47059,0.24254
25,indifferent,0.41667,0.28868
26,calm,0.41667,0.28868
27,tired,0.33333,0.33333
28,uncertain,0.33333,0.33333
29,mad,0.3,0.31623
30,neutral,0,0.5
31,other,0,0.5
32,cute,0,0.5
33,crying,0,0.5
