Rank,Target,Score,Precision
0,uncomfortable,0.90541,0.0822
1,surprised,0.88034,0.09245
2,interested,0.85714,0.10102
3,intrigued,0.8169,0.11868
4,wow,0.81429,0.11952
5,amazed,0.8,0.12403
6,concerned,0.77586,0.13131
7,bewildered,0.76923,0.13868
8,curious,0.76923,0.13868
9,content,0.76923,0.13868
10,focused,0.76786,0.13363
11,shocked,0.73171,0.15617
12,happy,0.72727,0.15076
13,worried,0.725,0.15811
14,disbelief,0.71795,0.16013
15,goofy,0.66667,0.18257
16,excited,0.64286,0.18898
17,confused,0.625,0.20412
18,startled,0.55,0.22361
19,scared,0.52941,0.24254
20,boring,0.5,0.25
21,unpleasant,0.5,0.26726
22,funny,0.5,0.26726
23,cute,0.5,0.26726
24,crazy,0.46154,0.27735
25,amazing,0.4,0.31623
26,silly,0.4,0.31623
27,young,0.33333,0.33333
28,thrilled,0.33333,0.33333
29,unhappy,0.28571,0.37796
30,playful,0.28571,0.37796
31,angry,0.16667,0.40825
32,sad,0.16667,0.40825
33,mad,0,0.5
34,upset,0,0.5
35,afraid,0,0.5
36,screaming,0,0.5
37,calm,0,0.5
